firm_name,domain,website,phone,address,state,google_rating,rating_count,attorney_count,team_page_found,practice_areas,is_law_firm,faq_present,schema_present,google_ads_pixel,book_call_cta,passes_icp,icp_reason,score,priority_tier,query_practice_area,query_city,source,place_id,first_seen,enrich_status
Sandoval & James Car Accident & Personal Injury Lawyers Austin,sj-lawfirm.com,https://sj-lawfirm.com/austin-texas-car-accident-lawyer-near-me/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,(512) 382-7707,"4807 Spicewood Springs Rd Bldg. 2, STE 100, Austin, TX 78759",Texas,4.9,2772,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJ76oaF4zMRIYRqC5ggUkSQrc,2026-06-10,ok
McMinn Personal Injury Lawyers Austin,mcminnlaw.com,https://www.mcminnlaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(254) 527-6517,"502 W 14th St, Austin, TX 78701",TX,4.9,331,3,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJaYjU5nS1RIYRPdBxZi6syvM,2026-06-10,ok
TK Injury Lawyers: Austin Personal Injury Lawyer,tkinjurylawyers.com,https://www.tkinjurylawyers.com/,(737) 260-7531,"1002 Rio Grande St, Austin, TX 78701",TX,5,222,5,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJx2fWvwy1RIYRhdrREOhFwdM,2026-06-10,ok
Joe Lopez Law: Austin Car Accident Attorney,joelopezlaw.com,https://www.joelopezlaw.com/car-accident-lawyer-austin/,(512) 580-9962,"1502 West Ave, Austin, TX 78701",Texas,5,158,1,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJaZ2CjnO1RIYRLCHaMaROVVE,2026-06-10,ok
FVF Law Firm – Injury & Wrongful Death Lawyers – Austin,fvflawfirm.com,https://www.fvflawfirm.com/?utm_source=GMBlisting&utm_medium=organic,(512) 982-9328,"3101 Bee Caves Rd #301, Austin, TX 78746",TX,4.9,326,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJbU3NrZdKW4YR5hwwaLKmAr0,2026-06-10,ok
Anderson Injury Lawyers Austin,maafirm.com,https://maafirm.com/austin-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmb-austin,(512) 883-5182,"811 Nueces St, Austin, TX 78701",TX,5,146,12,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJEQf7mBWfToYRDY2J55WnuJA,2026-06-10,ok
Lorenz & Lorenz,lorenzandlorenz.com,https://www.lorenzandlorenz.com/,(512) 477-7333,"1515 S Capital of Texas Hwy #500, Austin, TX 78746",TX,4.6,1351,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJF1DEtpJKW4YREvKHu4t5lIE,2026-06-10,ok
DJC Law,teamjustice.com,https://teamjustice.com/?utm_source=google&utm_campaign=gbp-austin-hq,(512) 969-2115,"1012 W Anderson Ln., Austin, TX 78757",Texas,4.8,1592,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJP6rZxuozW4YRO_jS9RcRGlg,2026-06-10,ok
Thomas J. Henry Injury Attorneys,thomasjhenrylaw.com,https://thomasjhenrylaw.com/,(512) 520-0221,"4401 West Gate Blvd Ste 200, Austin, TX 78745",Texas,4.7,3078,250,True,personal injury,True,True,True,True,True,False,headcount_out_of_range(250),0,,personal injury,"Austin, TX",google_places,ChIJ38d49oJLW4YRvHh4NgArX_M,2026-06-10,ok
"Herrman & Herrman, P.L.L.C",herrmanandherrman.com,https://www.herrmanandherrman.com/texas-personal-injury-firm/austin/,(737) 209-7277,"1701 Directors Blvd Ste 820, Austin, TX 78744",TX,4.9,852,2,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJ65a6MLO1RIYRP-mxZNQTMGM,2026-06-10,ok
"Ramos James Law, PLLC",ramosjames.com,https://www.ramosjames.com/?utm_campaign=gmb&utm_content=listing&utm_medium=organic&utm_source=gmb,(512) 881-8260,"2800 S I-35 Frontage Rd Ste 265, Austin, TX 78704",TX,4.9,228,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJAQDAaA61RIYREbq83bNUMps,2026-06-10,ok
"Treviño Law, PLLC: Austin Truck Accident Lawyer",rjt-law.com,https://www.rjt-law.com/,(512) 225-5000,"1106 W 6th St #211, Austin, TX 78703",Texas,5,345,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJnUv943S1RIYR0x8ZP7vP0qM,2026-06-10,ok
Loewy Law Firm,personalinjurylawyersaustintx.com,https://personalinjurylawyersaustintx.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,(512) 280-0800,"7000 N Mopac Expy Ste 200, Austin, TX 78731",TX,5,233,1,True,personal injury,True,False,True,True,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJna_pMga1RIYRojVCu3JrVLU,2026-06-10,ok
The Patel Firm: Austin Car Accident Lawyer,thepatelfirm.com,https://thepatelfirm.com/austin/personal-injury-lawyer/,(512) 887-1447,"611 S Congress Ave #215d, Austin, TX 78704",Texas,4.9,56,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJqW2WJW21RIYR3YI5TyyjEh0,2026-06-10,ok
"Byrd Davis Alden & Henrichson, LLP",byrddavis.com,https://byrddavis.com/?utm_campaign=gmb,(512) 607-9983,"8911 N Capital of Texas Hwy Ste 3150, Austin, TX 78759",TX,5,103,4,True,personal injury,True,False,True,True,False,True,,4,A,personal injury,"Austin, TX",google_places,ChIJn6q5eYDKRIYRWAm6yOAna24,2026-06-10,ok
"The Stewart Law Firm, PLLC",thestewartlawfirm.net,https://thestewartlawfirm.net/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local,(512) 326-3200,"4303 Russell Dr Unit B, Austin, TX 78704",TX,4.8,131,1,True,personal injury,True,False,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJRXm-c4u0RIYRKJE-p4Q79HA,2026-06-10,ok
Glen Larson Law Injury Attorneys,glenlarsonlaw.com,https://www.glenlarsonlaw.com/?utm_source=GMB_Austin_&_medium=organic&utm_campaign=GoogleMyBusiness,(512) 883-0277,"5113 Southwest Pkwy Ste 190, Austin, TX 78735",Texas,4.9,127,1,True,personal injury,True,True,True,False,True,False,headcount_out_of_range(1),0,,personal injury,"Austin, TX",google_places,ChIJpT3IzilKW4YRF4j4Phpjefs,2026-06-10,ok
Zinda Law Group,zdfirm.com,https://www.zdfirm.com/tx/austin-personal-injury-lawyer?utm_source=utm_source&utm_medium=GMB&utm_campaign=Zinda%20Law%20Group&utm_id=Zinda-GMB-Profile,(512) 601-4349,"7801 N Capital of Texas Hwy #300, Austin, TX 78731",TX,4.8,522,8,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJq0RwLGDLRIYR_qOqnVFv-s8,2026-06-10,ok
