firm_name,domain,website,phone,address,state,google_rating,rating_count,attorney_count,team_page_found,practice_areas,is_law_firm,faq_present,schema_present,google_ads_pixel,book_call_cta,passes_icp,icp_reason,score,priority_tier,query_practice_area,query_city,source,place_id,first_seen,enrich_status,email,email_type,email_source,decision_maker,email_mx,email_smtp,email_status,email_confidence,candidates_tried,phone_present,website_live
Sandoval & James Car Accident & Personal Injury Lawyers Austin,sj-lawfirm.com,https://sj-lawfirm.com/austin-texas-car-accident-lawyer-near-me/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,(512) 382-7707,"4807 Spicewood Springs Rd Bldg. 2, STE 100, Austin, TX 78759",Texas,4.9,2772,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJ76oaF4zMRIYRqC5ggUkSQrc,2026-06-10,ok,,,,James Sandoval (Managing Partner),False,,no_email,0,james.sandoval@sj-lawfirm.com; jsandoval@sj-lawfirm.com; james@sj-lawfirm.com; jamessandoval@sj-lawfirm.com; j.sandoval@sj-lawfirm.com,True,True
McMinn Personal Injury Lawyers Austin,mcminnlaw.com,https://www.mcminnlaw.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,(254) 527-6517,"502 W 14th St, Austin, TX 78701",TX,4.9,331,3,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJaYjU5nS1RIYRPdBxZi6syvM,2026-06-10,ok,jmcminn@mcminnlaw.com,personal,pattern:common,John McMinn (Founding Partner),True,deliverable,valid,95,john.mcminn@mcminnlaw.com; jmcminn@mcminnlaw.com; john@mcminnlaw.com; johnmcminn@mcminnlaw.com; j.mcminn@mcminnlaw.com,True,True
TK Injury Lawyers: Austin Personal Injury Lawyer,tkinjurylawyers.com,https://www.tkinjurylawyers.com/,(737) 260-7531,"1002 Rio Grande St, Austin, TX 78701",TX,5,222,5,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJx2fWvwy1RIYRhdrREOhFwdM,2026-06-10,ok,trent@tkinjurylawyers.com,personal,pattern:common,Trent Kelly (Austin Personal Injury Attorney),True,deliverable,valid,95,trent.kelly@tkinjurylawyers.com; tkelly@tkinjurylawyers.com; trent@tkinjurylawyers.com; trentkelly@tkinjurylawyers.com; t.kelly@tkinjurylawyers.com,True,True
FVF Law Firm – Injury & Wrongful Death Lawyers – Austin,fvflawfirm.com,https://www.fvflawfirm.com/?utm_source=GMBlisting&utm_medium=organic,(512) 982-9328,"3101 Bee Caves Rd #301, Austin, TX 78746",TX,4.9,326,,True,personal injury,True,True,True,False,True,True,,1,C,personal injury,"Austin, TX",google_places,ChIJbU3NrZdKW4YR5hwwaLKmAr0,2026-06-10,ok,david@fvflawfirm.com,personal,hunter,David Schupp (Attorney),True,hunter:valid,valid,97,david.schupp@fvflawfirm.com; dschupp@fvflawfirm.com; david@fvflawfirm.com; davidschupp@fvflawfirm.com; d.schupp@fvflawfirm.com,True,True
Anderson Injury Lawyers Austin,maafirm.com,https://maafirm.com/austin-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmb-austin,(512) 883-5182,"811 Nueces St, Austin, TX 78701",TX,5,146,12,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJEQf7mBWfToYRDY2J55WnuJA,2026-06-10,ok,mark@maafirm.com,personal,hunter,Mark A. Anderson (Founding Attorney),True,hunter:valid,valid,95,mark.anderson@maafirm.com; manderson@maafirm.com; mark@maafirm.com; markanderson@maafirm.com; m.anderson@maafirm.com,True,True
Lorenz & Lorenz,lorenzandlorenz.com,https://www.lorenzandlorenz.com/,(512) 477-7333,"1515 S Capital of Texas Hwy #500, Austin, TX 78746",TX,4.6,1351,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJF1DEtpJKW4YREvKHu4t5lIE,2026-06-10,ok,ted@lorenzandlorenz.com,personal,hunter,Ted R. Lorenz (Partner),True,hunter:valid,valid,96,ted.lorenz@lorenzandlorenz.com; tlorenz@lorenzandlorenz.com; ted@lorenzandlorenz.com; tedlorenz@lorenzandlorenz.com; t.lorenz@lorenzandlorenz.com,True,True
DJC Law,teamjustice.com,https://teamjustice.com/?utm_source=google&utm_campaign=gbp-austin-hq,(512) 969-2115,"1012 W Anderson Ln., Austin, TX 78757",Texas,4.8,1592,10,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJP6rZxuozW4YRO_jS9RcRGlg,2026-06-10,ok,dan@teamjustice.com,personal,hunter,Dan Christensen (Founder and Managing Partner),True,hunter:valid,valid,97,dan.christensen@teamjustice.com; dchristensen@teamjustice.com; dan@teamjustice.com; danchristensen@teamjustice.com; d.christensen@teamjustice.com,True,True
"Herrman & Herrman, P.L.L.C",herrmanandherrman.com,https://www.herrmanandherrman.com/texas-personal-injury-firm/austin/,(737) 209-7277,"1701 Directors Blvd Ste 820, Austin, TX 78744",TX,4.9,852,2,True,personal injury,True,False,True,True,True,True,,4,A,personal injury,"Austin, TX",google_places,ChIJ65a6MLO1RIYRP-mxZNQTMGM,2026-06-10,ok,gherrman@herrmanandherrman.com,personal,pattern:common,Gregory H. Herrman (Managing Partner),True,deliverable,valid,95,gregory.herrman@herrmanandherrman.com; gherrman@herrmanandherrman.com; gregory@herrmanandherrman.com; gregoryherrman@herrmanandherrman.com; g.herrman@herrmanandherrman.com,True,True
"Ramos James Law, PLLC",ramosjames.com,https://www.ramosjames.com/?utm_campaign=gmb&utm_content=listing&utm_medium=organic&utm_source=gmb,(512) 881-8260,"2800 S I-35 Frontage Rd Ste 265, Austin, TX 78704",TX,4.9,228,,True,personal injury,True,False,True,False,True,True,,2,B,personal injury,"Austin, TX",google_places,ChIJAQDAaA61RIYREbq83bNUMps,2026-06-10,ok,laura@ramosjames.com,personal,pattern:common,Laura Ramos James (Attorney),True,deliverable,valid,95,laura.james@ramosjames.com; ljames@ramosjames.com; laura@ramosjames.com; laurajames@ramosjames.com; l.james@ramosjames.com,True,True
The Patel Firm: Austin Car Accident Lawyer,thepatelfirm.com,https://thepatelfirm.com/austin/personal-injury-lawyer/,(512) 887-1447,"611 S Congress Ave #215d, Austin, TX 78704",Texas,4.9,56,6,True,personal injury,True,True,True,True,True,True,,3,B,personal injury,"Austin, TX",google_places,ChIJqW2WJW21RIYR3YI5TyyjEh0,2026-06-10,ok,minesh@thepatelfirm.com,personal,pattern:common,Minesh J. Patel (Founding Attorney),True,deliverable,valid,95,minesh.patel@thepatelfirm.com; mpatel@thepatelfirm.com; minesh@thepatelfirm.com; mineshpatel@thepatelfirm.com; m.patel@thepatelfirm.com,True,True
